"";"instant";"dteday";"season";"yr";"mnth";"hr";"holiday";"weekday";"workingday";"weathersit";"temp";"atemp";"hum";"windspeed";"casual";"registered";"cnt"
"7452";7452;"2011-11-12";4;0;11;2;0;6;0;1;0,24;0,2576;0,65;0,0896;7;39;46
"3647";3647;"2011-06-05";2;0;6;20;0;0;0;1;0,66;0,6212;0,69;0,194;84;195;279
"4436";4436;"2011-07-08";3;0;7;17;0;5;1;3;0,66;0,5909;0,89;0,4478;6;161;167
"16211";16211;"2012-11-13";4;1;11;4;0;2;1;2;0,36;0,3333;0,81;0,3881;0;9;9
"7366";7366;"2011-11-08";4;0;11;12;0;2;1;1;0,52;0,5;0,52;0,1343;28;175;203
"5212";5212;"2011-08-10";3;0;8;1;0;3;1;1;0,72;0,6667;0,54;0,194;7;10;17
"13579";13579;"2012-07-24";3;1;7;23;0;2;1;1;0,74;0,6818;0,58;0,3284;38;154;192
"3756";3756;"2011-06-10";2;0;6;9;0;5;1;1;0,76;0,697;0,55;0;37;176;213
"4351";4351;"2011-07-05";3;0;7;4;0;2;1;1;0,66;0,6212;0,69;0,1642;1;4;5
"3131";3131;"2011-05-15";2;0;5;8;0;0;0;2;0,54;0,5152;0,94;0,1343;24;46;70
"15654";15654;"2012-10-19";4;1;10;10;0;5;1;2;0,58;0,5455;0,88;0,194;26;198;224
"15750";15750;"2012-10-23";4;1;10;10;0;2;1;1;0,54;0,5152;0,6;0;50;171;221
"14726";14726;"2012-09-10";3;1;9;18;0;1;1;1;0,62;0,6212;0,35;0,2985;111;857;968
"557";557;"2011-01-25";1;0;1;9;0;2;1;2;0,2;0,2273;0,64;0,0896;10;134;144
"3381";3381;"2011-05-25";2;0;5;18;0;3;1;1;0,72;0,6667;0,58;0,2239;66;451;517
"10244";10244;"2012-03-07";1;1;3;21;0;3;1;1;0,44;0,4394;0,62;0,2537;11;177;188
"16802";16802;"2012-12-07";4;1;12;20;0;5;1;3;0,38;0,3939;0,76;0,1045;12;229;241
"1391";1391;"2011-03-03";1;0;3;5;0;4;1;1;0,14;0,1212;0,33;0,2985;1;7;8
"2628";2628;"2011-04-24";2;0;4;9;0;0;0;1;0,56;0,5303;0,88;0,2537;73;104;177
"16710";16710;"2012-12-04";4;1;12;0;0;2;1;1;0,42;0,4242;0,88;0,1045;6;49;55
"1508";1508;"2011-03-08";1;0;3;4;0;2;1;1;0,22;0,2727;0,64;0;0;2;2
"8602";8602;"2011-12-30";1;0;12;4;0;5;1;1;0,24;0,2576;0,7;0,0896;0;2;2
"6329";6329;"2011-09-26";4;0;9;6;0;1;1;2;0,62;0,5455;0,94;0,0896;6;107;113
"12834";12834;"2012-06-23";3;1;6;22;0;6;0;1;0,74;0,6515;0,37;0,1045;101;178;279
"9046";9046;"2012-01-17";1;1;1;19;0;2;1;1;0,46;0,4545;0,63;0,4179;11;297;308
"14279";14279;"2012-08-23";3;1;8;3;0;4;1;1;0,62;0,5758;0,83;0,0896;3;6;9
"12829";12829;"2012-06-23";3;1;6;17;0;6;0;1;0,82;0,7121;0,26;0,2537;214;316;530
"4290";4290;"2011-07-02";3;0;7;15;0;6;0;1;0,86;0,7273;0,19;0,1642;168;163;331
"14069";14069;"2012-08-14";3;1;8;9;0;2;1;2;0,7;0,6667;0,74;0;48;354;402
"3989";3989;"2011-06-20";2;0;6;2;0;1;1;1;0,64;0,5758;0,89;0,0896;2;0;2
"5617";5617;"2011-08-26";3;0;8;22;0;5;1;1;0,72;0,697;0,79;0,1045;26;126;152
"4605";4605;"2011-07-15";3;0;7;18;0;5;1;1;0,72;0,6515;0,45;0,2239;102;394;496
"13172";13172;"2012-07-08";3;1;7;0;0;0;0;1;0,82;0,7879;0,56;0,1343;22;125;147
"5646";5646;"2011-08-28";3;0;8;16;0;0;0;1;0,8;0,7121;0,36;0,3881;196;295;491
"338";338;"2011-01-15";1;0;1;13;0;6;0;1;0,28;0,2576;0,38;0,2985;21;80;101
"2268";2268;"2011-04-09";2;0;4;8;0;6;0;2;0,32;0,303;0,93;0,1642;7;47;54
"3109";3109;"2011-05-14";2;0;5;10;0;6;0;2;0,52;0,5;0,94;0,1642;34;133;167
"17093";17093;"2012-12-19";4;1;12;23;0;3;1;1;0,32;0,3333;0,66;0,1343;4;84;88
"9306";9306;"2012-01-28";1;1;1;15;0;6;0;1;0,4;0,4091;0,47;0,3284;90;320;410
"15215";15215;"2012-10-01";4;1;10;3;0;1;1;1;0,44;0,4394;0,77;0;1;6;7
"1238";1238;"2011-02-24";1;0;2;16;0;4;1;3;0,38;0,3939;0,62;0,2836;4;67;71
"17301";17301;"2012-12-28";1;1;12;17;0;5;1;1;0,24;0,2424;0,6;0,1343;43;228;271
"11499";11499;"2012-04-29";2;1;4;7;0;0;0;2;0,34;0,3333;0,87;0,1343;7;20;27
"3985";3985;"2011-06-19";2;0;6;22;0;0;0;1;0,66;0,6061;0,78;0,2239;38;114;152
"8439";8439;"2011-12-23";1;0;12;6;0;5;1;1;0,38;0,3939;0,82;0,2537;0;40;40
"15870";15870;"2012-10-28";4;1;10;10;0;0;0;2;0,48;0,4697;0,51;0,4179;120;314;434
"1679";1679;"2011-03-15";1;0;3;13;0;2;1;2;0,36;0,3333;0,57;0,2836;23;74;97
"6495";6495;"2011-10-03";4;0;10;4;0;1;1;1;0,34;0,3485;0,87;0,1045;2;6;8
"4667";4667;"2011-07-18";3;0;7;8;0;1;1;1;0,7;0,6515;0,7;0,194;18;329;347
"14530";14530;"2012-09-02";3;1;9;14;0;0;0;3;0,72;0,697;0,79;0,0896;249;208;457
"14752";14752;"2012-09-11";3;1;9;20;0;2;1;1;0,58;0,5455;0,56;0,1343;40;421;461
"243";243;"2011-01-11";1;0;1;11;0;2;1;2;0,2;0,2121;0,47;0,1343;4;31;35
"3291";3291;"2011-05-22";2;0;5;0;0;0;0;1;0,54;0,5152;0,88;0,1642;31;100;131
"17123";17123;"2012-12-21";1;1;12;5;0;5;1;2;0,34;0,303;0,76;0,4179;0;13;13
"6739";6739;"2011-10-13";4;0;10;8;0;4;1;3;0,54;0,5152;1;0,0896;10;199;209
"7797";7797;"2011-11-26";4;0;11;11;0;6;0;1;0,4;0,4091;0,62;0,1045;107;123;230
"10538";10538;"2012-03-20";1;1;3;4;0;2;1;2;0,52;0,5;0,88;0,1343;0;6;6
"8398";8398;"2011-12-21";1;0;12;13;0;3;1;3;0,44;0,4394;0,94;0,2985;3;55;58
"15505";15505;"2012-10-13";4;1;10;5;0;6;0;1;0,3;0,2879;0,61;0,194;0;11;11
"3854";3854;"2011-06-14";2;0;6;11;0;2;1;1;0,64;0,6212;0,41;0,2836;40;103;143
"8073";8073;"2011-12-08";4;0;12;0;0;4;1;2;0,26;0,2273;0,87;0,2985;0;21;21
"12387";12387;"2012-06-05";2;1;6;7;0;2;1;1;0,48;0,4697;0,77;0,2985;29;540;569
"716";716;"2011-02-02";1;0;2;4;0;3;1;3;0,22;0,2121;0,93;0,2836;0;1;1
"16177";16177;"2012-11-11";4;1;11;18;0;0;0;1;0,52;0,5;0,45;0,1343;102;303;405
"9999";9999;"2012-02-26";1;1;2;15;0;0;0;1;0,36;0,3485;0,29;0;72;281;353
"9694";9694;"2012-02-13";1;1;2;20;0;1;1;1;0,3;0,303;0,42;0,1642;4;210;214
"12537";12537;"2012-06-11";2;1;6;13;0;1;1;2;0,8;0,7121;0,41;0,2985;63;185;248
"2532";2532;"2011-04-20";2;0;4;9;0;3;1;1;0,66;0,6212;0,61;0,2836;27;170;197
"15169";15169;"2012-09-29";4;1;9;5;0;6;0;1;0,5;0,4848;0,63;0,194;2;13;15
"3961";3961;"2011-06-18";2;0;6;22;0;6;0;2;0,72;0,6818;0,62;0,1343;56;105;161
"7240";7240;"2011-11-03";4;0;11;6;0;4;1;1;0,34;0,3333;0,76;0,194;3;96;99
"11369";11369;"2012-04-23";2;1;4;21;0;1;1;2;0,32;0,303;0,81;0,2239;7;145;152
"15362";15362;"2012-10-07";4;1;10;6;0;0;0;2;0,44;0,4394;0,54;0,194;4;19;23
"10494";10494;"2012-03-18";1;1;3;8;0;0;0;2;0,42;0,4242;0,88;0,1045;25;71;96
"6301";6301;"2011-09-25";4;0;9;2;0;0;0;3;0,6;0,5152;0,94;0;27;79;106
"3112";3112;"2011-05-14";2;0;5;13;0;6;0;3;0,52;0,5;1;0,0896;68;180;248
"13872";13872;"2012-08-06";3;1;8;4;0;1;1;2;0,72;0,697;0,74;0,1343;3;8;11
"5750";5750;"2011-09-02";3;0;9;0;0;5;1;1;0,64;0,6061;0,65;0,194;6;58;64
"11579";11579;"2012-05-02";2;1;5;15;0;3;1;1;0,64;0,6061;0,65;0,194;52;204;256
"13073";13073;"2012-07-03";3;1;7;21;0;2;1;2;0,7;0,6515;0,7;0,2836;36;160;196
"1343";1343;"2011-03-01";1;0;3;5;0;2;1;1;0,2;0,1818;0,64;0,2836;1;1;2
"9347";9347;"2012-01-30";1;1;1;8;0;1;1;1;0,2;0,197;0,47;0,2239;12;481;493
"15649";15649;"2012-10-19";4;1;10;5;0;5;1;2;0,54;0,5152;0,88;0;1;35;36
"9381";9381;"2012-01-31";1;1;1;18;0;2;1;1;0,54;0,5152;0,24;0,3582;16;486;502
"13529";13529;"2012-07-22";3;1;7;21;0;0;0;1;0,7;0,6667;0,79;0,1045;88;257;345
"4067";4067;"2011-06-23";3;0;6;8;0;4;1;2;0,74;0,697;0,7;0,194;20;412;432
"4108";4108;"2011-06-25";3;0;6;1;0;6;0;1;0,66;0,6212;0,5;0,1642;20;75;95
"906";906;"2011-02-10";1;0;2;6;0;4;1;2;0,12;0,1212;0,54;0,2836;0;26;26
